时间,最新价,均价,成交额
2023-04-07 09:30,1795.00,1795.000,13462500.00
2023-04-07 09:31,1791.00,1793.647,88596008.00
2023-04-07 09:32,1796.00,1793.605,14884515.00
2023-04-07 09:33,1796.34,1793.973,20303059.00
2023-04-07 09:34,1797.00,1794.333,18688662.00
2023-04-07 09:35,1798.00,1794.584,14019519.00
2023-04-07 09:36,1798.00,1794.846,12588722.00
2023-04-07 09:37,1797.13,1795.147,18520700.00
2023-04-07 09:38,1798.92,1795.442,19782901.00
2023-04-07 09:39,1799.15,1795.662,14631165.00
2023-04-07 09:40,1801.00,1796.013,19353159.00
2023-04-07 09:41,1801.11,1796.320,18545604.00
2023-04-07 09:42,1800.16,1796.498,11345059.00
2023-04-07 09:43,1801.14,1796.820,22691039.00
2023-04-07 09:44,1802.89,1797.143,19284647.00
2023-04-07 09:45,1803.00,1797.316,9736884.00
2023-04-07 09:46,1800.56,1797.469,11891968.00
2023-04-07 09:47,1803.00,1797.728,20094909.00
2023-04-07 09:48,1805.00,1798.415,41221859.00
2023-04-07 09:49,1805.50,1798.853,26542977.00
2023-04-07 09:50,1805.99,1799.168,21306674.00
2023-04-07 09:51,1802.08,1799.255,7398937.00
2023-04-07 09:52,1802.25,1799.274,2703773.00
2023-04-07 09:53,1802.00,1799.353,13695747.00
2023-04-07 09:54,1803.00,1799.400,6850362.00
2023-04-07 09:55,1804.00,1799.471,8660249.00
2023-04-07 09:56,1803.99,1799.515,4924903.00
2023-04-07 09:57,1803.00,1799.594,9682139.00
2023-04-07 09:58,1803.00,1799.679,14961559.00
2023-04-07 09:59,1802.93,1799.765,13163459.00
2023-04-07 10:00,1802.21,1799.785,3245412.00
2023-04-07 10:01,1801.00,1799.845,26116063.00
2023-04-07 10:02,1796.50,1799.790,17800232.00
2023-04-07 10:03,1796.00,1799.683,21381425.00
2023-04-07 10:04,1796.40,1799.643,6645367.00
2023-04-07 10:05,1797.73,1799.606,8805343.00
2023-04-07 10:06,1797.00,1799.568,14563242.00
2023-04-07 10:07,1798.00,1799.515,15817165.00
2023-04-07 10:08,1797.50,1799.462,14016301.00
2023-04-07 10:09,1797.93,1799.433,10307179.00
2023-04-07 10:10,1799.00,1799.426,6655266.00
2023-04-07 10:11,1799.03,1799.427,5758501.00
2023-04-07 10:12,1798.96,1799.429,13530796.00
2023-04-07 10:13,1799.76,1799.427,5937381.00
